business_id,name,rating,review_count,overall_sentiment_vader,instructor_sentiment_vader,cleanliness_sentiment_vader,intensity_sentiment_vader,vibe_sentiment_vader,customer_service_sentiment_vader,space_equipment_sentiment_vader,parking_sentiment_vader,price_sentiment_vader,variety_sentiment_vader,crowdedness_sentiment_vader,music_sentiment_vader,city,address,latitude,longitude,google_place_id,google_rating,google_user_ratings_total
CZfW6ZKvwDYllJu6JKfC1Q,Made By Solace,4.7,28,0.2679,0.5992000000000001,0.7303,0.7583500000000001,0.8689,0.88645,0.0772,0.9287,0.8554,0.8554,0.8554,0.8689,Alhambra,188 S Monterey St,34.0946812,-118.12375475,ChIJEWFilqbFwoAR9Pse9k4PhbA,5,14
ApW_R4-lsLDepupRsjTbhw,M Pilates,3.8,19,0.1815190476190476,0.194375,0.9216,0.25,0.20065,0.5820000000000001,0.9216,0.9216,0.9216,0.4215,0.9216,0.9216,Los Angeles,3548 1/2 W 8th St,34.057451,-118.307691,ChIJBStmBDi5woAR5xSHT9mNdrA,5,11
e5vOVJtwmn6hGRYO6pqnfQ,Pilates Mind,4.3,6,0.3997833333333334,0.7287333333333333,0.7316,0.9831,0.7113666666666667,0.9831,0.8658,0.9831,0.9831,0.1591,0.0,0.9831,Los Angeles,1110 S Western Ave,34.050355,-118.308557,ChIJEwD7HKK5woARZ9gunmN9WL0,5,8
Leo6snbTZ0PUT0P96L0Q5w,Pilates Platinum,4.6,125,0.2374857142857142,0.38175,0.8694,0.37625,0.8694,0.47055,0.29675,0.8694,0.8694,0.5076499999999999,0.8694,0.8694,Los Angeles,1330 N Highland Ave,34.0952737,-118.3383477,ChIJPeEOUme7woARsa9qexCCnCo,4.4,17
e0ItSezKbs7iEAxeqvUBkw,Reform Pilates,4.9,17,0.3572866666666667,0.65175,0.9423,0.8193,0.0,0.7184,0.9423,0.8193,0.8193,0.20095,0.8193,0.8193,Los Angeles,8250 W 3rd St,34.072387003690125,-118.36976501615796,ChIJNbjNAB-5woAReO3G1S4TRqM,4.7,27
ONpy-i5FDMuGTFGxGw6-vQ,Oblix Studio,4.8,25,0.434735,0.7604,0.9349,0.0,0.8283,0.9896,0.0,0.9896,0.8674,0.9896,0.9896,0.9896,Sherman Oaks,13607 Ventura Blvd,34.14801777633987,-118.42988157964317,ChIJ1WfJWgSXwoARTAMk5w2Pxlk,4.5,16
JVCdi4DbpsyNFQNUZyAHkQ,Oblix Studio,5.0,5,0.3647666666666666,0.7843666666666667,0.836,0.4588,0.8658,0.8624,0.9881,0.0,0.9881,0.57375,0.3592,0.4329,Beverly Hills,243 North Robertson Blvd,34.06998,-118.38402,ChIJz5PgENS5woARM4Lg9U10kWQ,4.2,6
0CVTLR4q5XLVnvSv_aRNZg,Curv'd Studio,4.8,16,0.3223222222222222,0.8141,0.4019,0.8622,0.8622,0.8622,0.2299666666666666,0.0,0.8622,0.8622,0.0,0.8622,Glendale,237 N Central Ave,34.149394,-118.25826,ChIJffuvEmPBwoARWFJIpCRTQ0M,4.5,17
KncypYXToMiy5Iqu4NiO-w,Studio Elevate,4.8,92,0.4791777777777777,0.6552166666666667,0.9763,0.5843499999999999,0.81655,0.7178,0.7283,0.4404,0.9763,0.6369,0.9763,0.9763,Los Angeles,8733 Venice Blvd,34.03238231273287,-118.38347330274604,ChIJg4SgbGa6woARF9nVveyAeAA,5,35
nupNbE28OMETq6A5IB0UjA,Be Pilates,4.9,201,0.3372529411764705,0.4754,0.7316,0.6705,0.8683,0.67185,0.9431,0.9431,0.9431,0.35265,0.5423,0.9431,Pasadena,1393 E Washington Blvd,34.1692049,-118.1217219,ChIJ7bZZ3OTJwoARXiBaFRaCxjA,5,35
idw5925mXcLFRQKoo0_DAw,Classic Pilates LA,5.0,2,0.52195,0.9323,0.9323,0.9323,0.9323,0.9323,0.9323,0.9323,0.9323,0.5106,0.9323,0.9323,Los Angeles,401 S Vermont Ave,34.06708380028818,-118.29215398999024,ChIJCwxxML7HwoARnOW11WaXYeo,5,12
_GEsIn_uAjNYiEo8jwl9Og,That Pilates Place Larchmont,5.0,5,0.1941166666666667,0.4144,0.7334,0.8827,0.7334,0.8827,0.8827,0.7334,0.8827,0.8827,0.8827,0.8827,Los Angeles,564 N Larchmont Blvd,34.080839,-118.323324,ChIJwcj8Lsi4woARlHz2H0rdJsM,,
I2EXyzmv20bG9mEPGgwZYQ,A&U Pilates,5.0,2,0.5270333333333334,0.6577999999999999,0.9804,0.9804,0.9804,0.9804,0.9804,0.9804,0.9804,0.9804,0.9804,0.9804,Los Angeles,3868 W 6th St,34.0634,-118.3073,ChIJbebYfAm5woARqpU2ihw-Z0A,5,2
cvyPY7CRLCVApgyrxe0Auw,West Adams Pilates Jefferson Studio,5.0,5,0.4763066666666666,0.75405,0.9851,0.07945,0.8369,0.9851,0.8832,0.4795,0.9851,0.6249,0.9851,0.9851,Los Angeles,4505 W Jefferson Blvd,34.025822,-118.345285,ChIJA2BQthW5woARRBSxmhjGuO8,4.9,215
vpn2SAgjkEefs0c5v2dDog,Sheppard Method Pilates,4.9,33,0.3616454545454546,0.4916999999999999,0.9872,0.0,0.8377,0.4754,-0.3384,0.9872,0.9872,0.0,0.9872,0.9872,Los Angeles,2180 Westwood Blvd,34.044691966325,-118.431770383779,ChIJy69tGpm7woARmu1br5ZXJBI,5,11
K6QEfxL1P8HJOoS_Zc0PBw,U Plus Fit,4.7,11,0.3285421052631578,0.4831,0.9049,0.4404,0.6104,0.7269,0.2787,0.9049,0.8765,0.0,0.9049,0.9049,Arcadia,1 W Duarte Rd,34.12993,-118.03162,ChIJ76Ze9HfbwoARQtcOjia1x4I,4.7,29
uyg9r62zPikgvj7EM_chOA,Club Pilates,4.5,140,0.3027625,0.5069,0.4019,0.7065,0.4939,0.0658,0.0,0.9324,0.9324,0.31245,0.9324,0.9324,West Hollywood,7318 Santa Monica Blvd,34.0902977,-118.3490065,ChIJ5VLMzMS_woARIe7MXgNxFL0,5,3
